Year,Month,Factory_ID,Units_Produced,Energy_Consumption_kWh,Renewable_Energy_Percentage,Carbon_Emissions_tons,Machine_Downtime_Hours,Avg_Temperature_Celsius,Electricity_Cost_USD,Energy_Efficiency_Index
2024,Jan,F1,500,13000,10,40,12,27,1600,70
2024,Feb,F1,520,13500,12,39,11,28,1650,72
2024,Mar,F1,550,14500,14,41,10,30,1750,74
2024,Apr,F1,580,15000,16,39,9,32,1820,76
2024,May,F1,610,16000,18,38,8,35,1950,78
2024,Jun,F1,650,17000,20,37,7,38,2100,80
2024,Jul,F1,700,18500,22,36,6,40,2300,82
2024,Aug,F1,680,18000,24,34,6,39,2200,84
2024,Sep,F1,640,17000,26,32,7,34,2050,86
2024,Oct,F1,600,16000,28,30,8,31,1900,88
2024,Nov,F1,560,15000,30,28,9,29,1750,90
2024,Dec,F1,530,14000,32,26,10,26,1650,92
2025,Jan,F1,600,14500,35,25,8,27,1700,94
2025,Feb,F1,630,15000,38,24,7,28,1800,96
2025,Mar,F1,670,16000,40,23,6,30,1950,98
2025,Apr,F1,700,17000,42,22,6,32,2100,100
2025,May,F1,740,18000,45,21,5,35,2250,102
2025,Jun,F1,780,19000,48,20,4,38,2400,104
2025,Jul,F1,820,20500,50,19,4,40,2600,106
2025,Aug,F1,800,20000,52,18,5,39,2500,108
2025,Sep,F1,760,19000,55,17,6,34,2300,110
2025,Oct,F1,720,18000,58,16,6,31,2150,112
2025,Nov,F1,680,17000,60,15,7,29,2000,114
2025,Dec,F1,650,16000,65,14,8,26,1900,116
